CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV
58;1;44;L;5;0;GBO1;4110;4101;4093;350;0
58;1;57;L;1;3;L140;;24778;6387;279;0
58;1;134;L;1;2;B175a;;27356;2187;42706;0
58;1;138;L;1;3;S132;;9565;28449;433;0
58;1;158;L;1;3;S78;;15458;350;288;0
58;1;173;L;1;3;S143;;19109;13704;433;0
58;1;201;L;5;0;GDD14;13718;13717;20458;390;0
58;1;206;L;5;0;GST01;24853;24852;15999;534;0
58;1;230;L;1;3;S57;;340;27339;58410;0
58;1;234;L;1;3;S247;;7027;19158;58410;0
58;1;246;L;1;3;S84;;5494;27123;534;0
58;1;252;L;1;3;S123;;333;334;1710;0
58;1;947;L;5;0;GD32;9448;24061;24505;1171;0
58;1;1651;L;1;3;L473;;14030;6397;279;0
58;1;1737;L;1;3;L183;;4201;14389;287;0
58;1;2020;L;1;3;L195;;6988;3832;604;0
58;1;2057;L;1;3;L92;;24479;16254;256;0
58;1;2138;L;5;0;;23068;;;1243;0
58;1;2158;L;5;0;;12158;;;1243;0
58;1;2257;L;5;0;;18828;;;1243;0
58;1;2259;L;5;0;;22948;;;1243;0
58;1;2262;L;5;0;;27321;;;1243;0
58;1;2312;L;5;0;;10600;;;2003;0
58;1;2315;L;5;0;;11886;;;2003;0
58;1;2318;L;5;0;;22576;;;2003;0
58;1;2374;L;5;0;;8654;;;2003;0
58;1;2379;L;5;0;;4232;;;2003;0
58;1;2434;L;5;0;;3607;;;2240;0
58;1;2441;L;5;0;;14468;;;2240;0
58;1;2515;L;1;3;L1177;;4170;9939;266;0
58;1;2536;L;1;3;L1178;4067;14093;18342;266;0
58;1;2574;L;1;3;L1179;;24781;8415;266;0
58;1;2696;L;1;3;L1180;;4861;13217;266;0
58;1;2708;L;1;3;L1181;;20998;12244;266;0
58;1;2738;L;1;3;L1182;;18107;4838;1;0
58;1;2835;L;1;3;L27;;4915;8758;686;0
58;1;2994;L;1;3;L12;;15186;20266;610;0
58;1;3009;L;1;3;L28;;28116;20158;267;0
58;1;3149;L;1;3;L34;;24805;18349;529;0
58;1;3285;L;1;3;L98;;4393;21083;267;0
58;1;3334;L;1;3;L99;;20778;21476;267;0
58;1;3453;L;1;3;L91;;4393;17947;267;0
58;1;3496;L;1;3;L92;;22008;18086;267;0
58;1;3674;L;1;3;L43;;8360;6908;579;0
58;1;3761;L;1;3;L80;;4861;16040;267;0
58;1;3800;L;1;3;L95;;10112;3364;609;0
58;1;3815;L;1;3;L84;;12747;18199;609;0
58;1;3857;L;1;3;L83;;9699;18719;609;0
58;1;3889;L;1;3;L82;;18719;23754;267;0
58;1;3917;L;1;3;L81;;23754;12874;678;0
58;1;3988;L;1;3;L72;;24763;13892;396;0
58;1;4475;L;1;3;L1183;;13318;16394;266;0
58;1;4504;L;1;3;L1184;;24225;18437;266;0
58;1;4545;L;1;3;L1185;;16744;11120;266;0
58;1;4618;L;1;3;L1186;;20035;27202;266;0
58;1;4659;L;1;3;L1189;;17255;20735;266;0
58;1;4704;L;1;3;L1190;13262;27722;18821;266;0
58;1;4775;L;5;0;GHB01;1841;65;18217;358;0
58;1;4813;L;5;0;GHB220;24699;24870;12815;358;0
58;1;4847;L;5;0;GHB141;13912;24699;14272;358;0
58;1;4876;L;5;0;GHB132;12815;13912;14292;358;0
58;1;5294;L;1;4;K1096;;12855;13261;270;0
58;1;5340;L;1;3;L2;;10845;14890;270;0
58;1;5369;L;1;3;L32;;24661;10910;270;0
58;1;5375;L;5;0;GHAL;8265;5790;5;447;0
58;1;5451;L;5;0;GHAL;7571;2275;14558;447;0
58;1;5528;L;5;0;GHAL;8312;20175;12534;447;0
58;1;5535;L;5;0;GHAL;13204;8312;17061;447;0
58;1;5543;L;5;0;GHAL;21325;20058;21727;447;0
58;1;5548;L;5;0;GHAL;23731;25708;24420;447;0
58;1;5556;L;1;4;K2127;9168;6461;21432;270;0
58;1;5559;L;1;3;L167;;6465;10383;270;0
58;1;5594;L;1;3;L143;;9338;28597;270;0
58;1;5600;L;1;3;L168;;9923;11826;270;0
58;1;5610;L;1;4;K2139;;28583;15025;270;0
58;1;5613;L;1;3;L85;;1744;3968;270;0
58;1;5621;L;1;4;K1360;;2494;20901;270;0
58;1;5683;L;1;3;L286;;22963;27565;265;0
58;1;5685;L;1;3;L131;;22720;27363;265;0
58;1;5688;L;1;3;L133;;8277;6026;265;0
58;1;5695;L;1;3;L322;;26720;27995;946;0
58;1;5698;L;1;3;L307;;22720;4833;265;0
58;1;5727;L;1;3;L130;;11598;19216;265;0
58;1;5744;L;1;3;L140;;4341;23430;265;0
58;1;5753;L;1;3;L141;;22552;19968;265;0
58;1;5760;L;1;3;L149;;18792;26527;265;0
58;1;5769;L;1;3;L365;;18792;27161;265;0
58;1;5795;L;1;3;L148;;18950;20766;265;0
58;1;5805;L;1;3;L250;;6381;22701;265;0
58;1;5822;L;1;3;L234;;18705;2154;265;0
58;1;5832;L;1;3;L111;;22701;23415;265;0
58;1;5842;L;1;3;L235;;23880;19366;265;0
58;1;5846;L;1;3;L147;;25415;19982;265;0
58;1;5871;L;1;3;L129;;24077;17039;265;0
58;1;5897;L;1;3;L151;;26527;27161;265;0
58;1;5928;L;1;3;L150;;26527;11321;265;0
58;1;5936;L;1;3;L102;;9039;4619;265;0
58;1;6156;L;1;3;L382;;7200;19397;262;0
58;1;6159;L;1;3;L499;;26643;8069;262;0
58;1;6203;L;1;3;L533;;2539;17532;262;0
58;1;6204;L;1;3;L5;;3947;20817;262;0
58;1;6297;L;1;3;L267;;18579;937;262;0
58;1;6299;L;1;3;L306;;22787;16613;262;0
58;1;6304;L;1;3;L127;;13841;18314;262;0
58;1;6344;L;1;3;L700;;9546;1557;262;0
58;1;6357;L;1;3;L158;;13898;17736;262;0
58;1;6366;L;1;3;L141;;13602;27926;262;0
58;1;6464;L;1;3;L3048;;9192;13522;528;0
58;1;6471;L;1;2;B42A;;8843;19441;625;0
58;1;6474;L;1;2;B62B;;3772;3767;927;0
58;1;6478;L;1;2;B452;;7434;24192;3325;0
58;1;6482;L;1;3;L3073;;8054;25902;261;0
58;1;6504;L;1;3;I6300;;3104;25557;257;0
58;1;6516;L;5;0;;11842;;;35678;0
58;1;6524;L;5;0;;7236;;;4765;0
58;1;6528;L;5;0;;25108;;;4801;0
58;1;6534;L;5;0;;4479;;;35668;0
58;1;6539;L;5;0;;20469;;;35668;0
58;1;6543;L;5;0;;27344;;;35668;0
58;1;6546;L;5;0;;18064;;;23528;0
58;1;6555;L;5;0;;13784;;;4840;0
58;1;6559;L;5;0;;23119;;;4995;0
58;1;6562;L;1;3;I6400;;4255;3816;257;0
58;1;6574;L;5;0;;28641;;;35687;0
58;1;6580;L;1;3;I6500;;22080;3830;257;0
58;1;6588;L;1;3;I6501;;22080;3830;257;0
58;1;6596;L;1;3;I6600;;6938;10623;257;0
58;1;6610;L;5;0;;17396;;;4805;0
58;1;6614;L;1;3;I6700;;11044;10623;257;0
58;1;6623;L;5;0;;6842;;;4762;0
58;1;6627;L;5;0;;6844;;;4762;0
58;1;6633;L;5;0;;887;;;4723;0
58;1;6637;L;5;0;;19516;;;5016;0
58;1;6644;L;1;3;L3217;;7454;13241;285;0
58;1;6649;L;1;3;L3232;;21336;24053;3227;0
58;1;6653;L;1;3;L3238;;18102;11429;3325;0
58;1;6664;L;1;3;L3133;;12322;20606;281;0
58;1;6673;L;1;3;L3215;;26612;13241;285;0
58;1;6679;L;1;3;L3219;;18558;13241;285;0
58;1;6688;L;1;3;L3218;;2917;13241;285;0
58;1;6701;L;1;3;L3143;;8531;23084;261;0
58;1;6710;L;1;3;L3141;;24079;23084;261;0
58;1;6731;L;1;3;L3356;;5042;24499;429;0
58;1;6747;L;1;3;L3071;;7710;21132;281;0
58;1;6772;L;1;3;L3263;;18437;18327;261;0
58;1;6777;L;1;3;L3145;;768;12750;261;0
58;1;6785;L;1;3;L3067;;23354;18231;650;0
58;1;6792;L;1;3;L3086;;26487;2917;698;0
58;1;6800;L;1;3;L3129;;5060;5042;261;0
58;1;6813;L;1;3;L3360;;27523;15150;281;0
58;1;6817;L;1;3;L3451;;27115;9132;281;0
58;1;6829;L;1;3;L3376;;27523;3760;281;0
58;1;6837;L;1;3;L3070;;25902;13610;696;0
58;1;6851;L;1;3;L3180;;23131;24079;520;0
58;1;6860;L;1;3;L2304;;24079;13016;261;0
58;1;6869;L;1;3;L3371;;24080;24086;520;0
58;1;6904;L;5;0;;13013;;;1655;0
58;1;6905;L;5;0;;26724;;;1655;0
58;1;6906;L;5;0;;6549;;;1655;0
58;1;6907;L;5;0;;4777;;;1655;0
58;1;6908;L;5;0;;15384;;;1655;0
58;1;6909;L;5;0;;11546;;;1655;0
58;1;6910;L;5;0;;11901;;;1655;0
58;1;6911;L;5;0;;20769;;;1655;0
58;1;6912;L;5;0;;23114;;;1655;0
58;1;6950;L;1;3;L168;;9264;12037;669;0
58;1;6953;L;1;3;L118;;7017;14065;256;0
58;1;6958;L;1;3;L119;;9264;12665;669;0
58;1;6963;L;1;3;L100;;7017;24594;256;0
58;1;6969;L;1;3;L112;;9587;3111;256;0
58;1;6982;L;1;3;L75;;7017;17903;256;0
58;1;7020;L;1;1;A103;;24545;23597;266;0
58;1;7021;L;1;3;L1188;;27766;24545;266;0
58;1;7022;L;1;3;L1187;1923;26953;21348;266;0
58;1;7025;L;1;1;A111;1939;5353;6281;1;0
58;1;7026;L;1;1;A117;1948;26796;25638;1;0
58;1;7027;L;1;1;A114;1947;6282;20035;1;0
58;1;7028;L;1;1;A115;;6280;6271;1;0
58;1;7029;L;1;1;A12;;3606;8124;267;0
58;1;7030;L;1;1;A13;;6319;23608;1;0
58;1;7049;L;1;1;A210;;21417;13448;256;0
58;1;7050;L;1;1;A215;;18373;13448;256;0
58;1;7051;L;1;1;A226;397;2856;25603;256;0
58;1;7052;L;1;1;A23;;10428;10933;1;0
58;1;7057;L;1;1;A25;;10428;8804;1;0
58;1;7059;L;1;1;A252;25919;10438;10460;257;0
58;1;7060;L;1;1;A253;25913;10469;10467;257;0
58;1;7061;L;1;1;A255;435;10460;18171;257;0
58;1;7062;L;1;1;A261;6642;4867;10462;1;0
58;1;7068;L;1;1;A280;;9643;15355;504;0
58;1;7072;L;1;1;A293;24411;19558;19552;258;0
58;1;7087;L;1;1;A352;6641;10571;10574;258;0
58;1;7090;L;1;2;B27;18896;1908;10116;436;0
58;1;7094;L;1;1;A392;18885;4448;10476;356;0
58;1;7105;L;1;1;A42;;13083;6189;260;0
58;1;7113;L;1;1;A445;;1680;10488;272;0
58;1;7125;L;1;1;A485;;15150;9143;429;0
58;1;7126;L;1;1;A49;;9132;13241;285;0
58;1;7132;L;1;1;A516;400;19167;19170;575;0
58;1;7136;L;1;1;A524;;6407;4544;279;0
58;1;7138;L;1;1;A540;;12860;21947;559;0
58;1;7139;L;1;1;A542;;17358;15100;538;0
58;1;7140;L;1;1;A544;346;1916;268;306;0
58;1;7141;L;1;1;A553;;4810;4026;404;0
58;1;7142;L;1;1;A555;;4201;14349;287;0
58;1;7143;L;1;1;A559;;14378;14361;490;0
58;1;7144;L;1;1;A560;;22685;11191;624;0
58;1;7145;L;1;1;A562;367;4214;4210;351;0
58;1;7146;L;1;1;A565;;16856;4201;1;0
58;1;7172;L;1;1;A620;;22540;22504;265;0
58;1;7173;L;1;1;A623;;22504;8426;265;0
58;1;7175;L;1;1;A643;;16442;27595;1;0
58;1;7176;L;1;1;A648;;7400;8091;275;0
58;1;7184;L;1;1;A661;;5680;2732;275;0
58;1;7187;L;1;1;A671;;16442;27595;1;0
58;1;7188;L;1;1;A672;20917;9600;5680;275;0
58;1;7212;L;1;2;B6n;;9386;5837;1;0
58;1;7222;L;1;1;A92;;17776;5759;264;0
58;1;7229;L;1;1;A94;;17776;20151;264;0
58;1;7230;L;1;1;A95;;8744;17776;294;0
58;1;7231;L;1;1;A952;;24490;6287;667;0
58;1;7237;L;5;0;;3319;;;5290;0
58;1;7239;L;1;1;A980;439;26786;1913;573;0
58;1;7242;L;1;1;A995;;14085;17776;294;0
58;1;7243;L;5;0;;24727;;;5290;0
58;1;7257;L;5;0;;8467;;;1469;0
58;1;7258;L;5;0;;19889;;;1243;0
58;1;7277;L;5;0;;23065;;;2240;0
58;1;7396;L;5;0;;3127;;;35920;0
58;1;7402;L;5;0;;1337;;;35534;0
58;1;7407;L;5;0;;3821;;;4801;0
58;1;7412;L;1;3;I6502;;10492;10491;257;0
58;1;7422;L;1;3;I1902;;18509;8049;257;0
