CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN
58;1;14;P;1;11;;;25127;;3730;;8998;;1;1;1;1;1;1;;;+00684600;+5192910;0;0
58;1;15;P;1;11;;;26482;;5385;;8998;;1;1;1;1;1;1;;;+00684120;+5203450;0;0
58;1;16;P;1;11;;;558;;742;;8998;;1;1;1;1;1;1;;;+00691690;+5213855;0;0
58;1;17;P;1;15;;;9632;;1389;;8998;;0;1;1;0;1;1;;;+00697600;+5219300;24935;0
58;1;18;P;1;11;;;25127;;3730;;9213;;1;0;0;1;1;1;;;+00684600;+5192910;0;0
58;1;19;P;1;15;;;25127;;3730;;;9740;1;0;0;1;1;1;;;+00684600;+5192910;28766;0
58;1;20;P;1;15;;;9635;;1389;;8938;;1;1;1;1;1;1;;;+00697600;+5219300;0;0
58;1;21;P;1;3;;22214;7476;;408;;47840;;1;0;0;1;1;1;;;+00707475;+5140825;21887;0
58;1;22;P;1;11;;;19422;;3730;;8998;;1;1;1;1;1;1;;;+00681785;+5193400;0;0
58;1;23;P;1;12;;;18934;;3082;;8983;;1;1;1;1;1;1;;;+00735390;+5192925;0;0
58;1;24;P;3;14;;;13028;;1978;;;47815;1;0;0;1;1;1;;;+00616910;+5133030;0;0
58;1;25;P;1;3;;;19584;;3089;;8940;;0;1;1;0;1;1;;;+00782385;+5103070;24433;0
58;1;26;P;1;3;;;16918;;3287;;8935;;1;0;0;1;1;1;;;+00767540;+5110270;24339;0
58;1;27;P;1;3;;;7439;;39521;;8664;;1;0;0;1;1;1;;;+00629320;+5082965;22257;0
58;1;28;P;1;3;;;274;;306;;8659;;0;1;1;0;1;1;;;+00612585;+5072100;22217;0
58;1;29;P;1;12;;;9107;;39311;;;9160;1;1;1;1;1;1;;;+00642340;+5074575;0;0
58;1;30;P;1;15;;;18071;;1893;;;8881;1;1;1;1;1;1;;;+00665745;+5052465;0;0
58;1;31;P;1;15;;25132;6525;;1184;;8425;;1;1;1;1;1;1;;;+00674255;+5119860;0;1
58;1;32;P;1;15;;17814;6531;;1227;;;39287;1;1;1;1;1;1;;;+00682195;+5116970;0;1
58;1;33;P;1;15;;8149;6543;;1418;;;39287;1;1;1;1;1;1;;;+00688460;+5115580;0;1
58;1;35;P;1;3;75;;7947;;1738;;7006;;1;1;1;1;1;1;;;+00770025;+5211385;0;0
58;1;36;P;1;15;;;21641;;39515;;8817;;1;1;1;1;1;1;;;+00720685;+5066125;0;0
58;1;37;P;1;15;;17814;6538;20184;1227;;;39287;1;1;1;1;1;1;;;+00685120;+5116870;0;1
58;1;38;P;1;3;;8149;6524;;1161;;;39287;1;0;0;1;1;1;;;+00689125;+5115265;0;1
58;1;39;P;1;11;;;1702;;2026;;;8613;1;1;1;1;1;1;;;+00621895;+5114000;0;0
58;1;40;P;1;7;;5670;13036;;1288;;34;;1;1;1;1;1;1;;;+00677455;+5130670;0;0
58;1;41;P;1;1;;6417;6411;;391;;34;;0;1;1;0;1;1;;;+00675855;+5135350;55852;1
58;1;42;P;1;15;;;7765;;445;;;9750;1;1;1;1;1;1;;;+00749510;+5137250;0;0
58;1;43;P;1;13;;;14084;;445;;;9750;0;1;1;0;1;1;;;+00750785;+5137175;0;0
58;1;45;P;1;12;;6126;4101;;350;;;44;1;0;0;1;1;1;;;+00718325;+5148085;0;1
58;1;46;P;1;15;;19987;4106;;350;;;44;1;1;1;1;1;1;;;+00721055;+5145590;0;1
58;1;47;P;1;15;;18845;4103;;350;;;44;1;1;1;1;1;1;;;+00722570;+5145495;0;1
58;1;48;P;1;15;;18845;4098;;350;;;44;1;1;1;1;1;1;;;+00723650;+5145955;0;1
58;1;49;P;1;15;;18845;4102;;350;;;44;1;1;1;1;1;1;;;+00725400;+5146525;0;1
58;1;50;P;1;15;;18845;4096;;350;;;44;1;1;1;1;1;1;;;+00725860;+5147205;0;1
58;1;51;P;1;15;;23918;4094;;350;;;44;1;1;1;1;1;1;;;+00725490;+5148760;0;1
58;1;52;P;1;10;;5329;10665;;350;;;44;1;1;1;1;1;1;;;+00725625;+5149360;0;1
58;1;53;P;1;3;;5329;4093;;350;;;44;0;1;1;0;1;1;;;+00725645;+5149460;0;1
58;1;54;P;6;12;;;1644;;1380;;;;;;;;;;;;+00673310;+5126155;0;0
58;1;55;P;1;10;;8455;630;;408;;;9130;1;1;1;1;1;1;;;+00693225;+5146300;0;1
58;1;56;P;1;8;;7577;16058;;507;;9034;;1;1;1;1;1;1;;;+00698850;+5102760;0;1
58;1;58;P;1;3;;;24778;;2479;;;57;1;0;0;1;1;1;;;+00626730;+5138775;0;0
58;1;59;P;1;10;;;26843;;39529;;;57;1;1;1;1;1;1;;;+00629995;+5140005;0;0
58;1;60;P;1;10;;;26524;;39529;;;57;1;1;1;1;1;1;;;+00634835;+5141410;0;0
58;1;61;P;1;10;;;13405;;1652;;;57;1;1;1;1;1;1;;;+00640870;+5144265;0;0
58;1;62;P;1;10;;;18336;;39530;;;57;1;1;1;1;1;1;;;+00654575;+5143995;0;0
58;1;63;P;1;10;;;17329;;39530;;;57;1;1;1;1;1;1;;;+00661245;+5144330;0;0
58;1;64;P;1;10;;;6409;;391;;;57;1;1;1;1;1;1;;;+00667130;+5143895;0;0
58;1;65;P;3;2;;;8371;;391;;;57;1;1;1;1;1;1;;;+00672360;+5145625;0;0
58;1;66;P;1;8;;;6410;;391;;;57;1;1;1;1;1;1;;;+00674070;+5145475;0;0
58;1;67;P;1;10;;;6400;;547;;;57;1;1;1;1;1;1;;;+00681285;+5144410;0;0
58;1;68;P;6;13;;;6519;;1380;;;;;;;;;;;;+00674055;+5125990;0;1
58;1;69;P;1;12;;27378;25920;;550;;;8607;1;0;0;1;1;1;;;+00760195;+5193520;0;1
58;1;70;P;1;12;;25920;27378;;550;;8922;;1;1;1;1;1;1;;;+00760195;+5193520;0;1
58;1;73;P;1;12;;8653;21910;13806;1283;;8592;;1;1;1;1;1;1;;;+01101440;+5369420;0;1
58;1;74;P;3;4;;;3068;;37765;;;50079;1;1;1;1;1;1;;;+01235690;+5371490;0;0
58;1;75;P;1;3;4;;22021;;37787;;;50079;0;1;0;1;1;0;;;+01213640;+5413520;0;0
58;1;76;P;1;11;;5080;28693;24795;2193;;;9083;1;1;1;1;1;1;;;+01404950;+5401265;0;0
58;1;121;P;1;12;;6333;3296;;938;;8965;;1;1;1;1;1;1;;;+01416580;+5112120;0;1
58;1;122;P;1;11;;3296;6333;;938;;9081;;1;1;1;1;1;1;;;+01416580;+5112120;0;1
58;1;123;P;1;8;;16944;13575;;3772;;;51137;1;1;1;1;1;1;;;+01356200;+5116215;0;1
58;1;124;P;1;8;;13575;16941;;3772;;;51114;1;1;1;1;1;1;;;+01356200;+5116215;0;1
58;1;125;P;1;11;;;12753;;2152;;;51123;1;1;1;1;1;1;;;+01394565;+5097980;0;0
58;1;126;P;1;11;;;12753;;2152;;;51218;1;1;1;1;1;1;;;+01394565;+5097980;0;0
58;1;127;P;1;11;;16820;6331;;2152;;;51123;1;1;1;1;1;1;;;+01393115;+5095740;0;1
58;1;128;P;1;11;;6331;16820;;2152;;52442;;1;1;1;1;1;1;;;+01393115;+5095740;0;1
58;1;129;P;1;12;;5397;9863;13073;3656;;51433;;1;1;1;1;1;1;19, 21;18, 2;+01393710;+5112505;0;1
58;1;130;P;1;11;;20837;24757;;3656;;51452;;1;1;1;1;1;1;;;+01393430;+5111380;0;1
58;1;131;P;1;11;;24757;20837;;3656;;;51120;1;1;1;1;1;1;;;+01393430;+5111380;0;1
58;1;132;P;1;12;;;27304;;3777;;;51134;1;1;1;1;1;1;;;+01237210;+5073950;29257;0
58;1;133;P;1;12;;;27304;;3777;;8524;;1;1;1;1;1;1;;;+01237210;+5073950;0;0
58;1;135;P;1;12;;;27356;;42706;;;134;1;1;1;1;1;1;;;+01268030;+5095045;0;0
58;1;136;P;1;12;;;2187;;42706;;;134;1;1;1;1;1;1;;;+01269230;+5095920;0;0
58;1;137;P;1;12;;;2188;;42706;;8525;;1;1;1;1;1;1;;;+01269230;+5095920;0;0
58;1;139;P;3;14;;;20295;;140;;;138;1;1;1;1;1;1;;;+01476560;+5081980;0;0
58;1;141;P;1;11;;8982;8349;;2776;;;138;1;1;1;1;1;1;;;+01481190;+5089050;0;1
58;1;142;P;1;11;;8349;28446;;2776;;;138;1;1;1;1;1;1;;;+01480990;+5089310;0;1
58;1;143;P;6;12;;;28609;;2253;;;;;;;;;;;;+01329760;+5129920;0;1
58;1;144;P;6;12;;;24239;;808;;;;;;;;;;;;+01271140;+5059780;0;1
58;1;145;P;1;11;;;8031;;56928;;9092;;1;1;1;1;1;1;;;+01470580;+5104500;146;0
58;1;146;P;1;11;;;19109;;3547;;9092;;1;1;1;1;1;1;;;+01468740;+5103620;145;0
58;1;147;P;1;11;;6723;12034;;1257;;;42889;1;1;1;1;1;1;;;+01334690;+5091610;0;1
58;1;148;P;1;11;;12034;6723;;1257;;8523;;1;1;1;1;1;1;;;+01334690;+5091610;0;0
58;1;149;P;1;11;;;19979;;42517;;52444;;1;1;1;1;1;1;;;+01311700;+5105345;0;0
58;1;150;P;1;11;;;19979;;42517;;9830;;1;1;1;1;1;1;;;+01311700;+5105345;0;0
58;1;151;P;1;8;;2503;6331;;888;;9066;;1;1;1;1;1;1;;;+01440160;+5118000;0;1
58;1;152;P;1;8;;6331;2503;;888;;8965;;1;1;1;1;1;1;;;+01440160;+5118000;0;1
58;1;153;P;1;11;;;15678;;42788;;;51135;1;1;1;1;1;1;;;+01243405;+5069695;0;0
58;1;154;P;1;12;;;15678;;42788;;8521;;1;1;1;1;1;1;;;+01243405;+5069695;0;0
58;1;155;P;1;11;;4283;19723;;5327;;42971;;1;1;1;1;1;1;;;+01245120;+5128100;0;0
58;1;156;P;1;11;;15701;17493;;5327;;42971;;1;1;1;1;1;1;;;+01246115;+5128225;0;1
58;1;157;P;1;11;;13582;884;;5327;;42971;;1;1;1;1;1;1;;;+01246410;+5128295;0;1
58;1;159;P;1;11;;884;13582;;5327;;;158;1;1;1;1;1;1;;;+01246410;+5128295;0;1
58;1;160;P;1;11;;;4306;;3825;;;158;1;1;1;1;1;1;;;+01252135;+5135485;0;0
58;1;161;P;1;11;;10817;22407;;3502;;42971;;1;1;1;1;1;1;;;+01255905;+5127280;162;1
58;1;162;P;1;11;;;17960;;3502;;42971;;1;1;1;1;1;1;;;+01257155;+5127520;161;0
58;1;163;P;1;11;;;9871;;3343;;42971;;1;1;1;1;1;1;;;+01262560;+5126200;0;0
58;1;164;P;1;12;;;9871;;3343;;;51352;1;1;1;1;1;1;;;+01262560;+5126200;0;0
58;1;165;P;1;12;;;19187;;3343;;;51636;1;1;1;1;1;1;;;+01251920;+5126080;0;0
58;1;166;P;1;12;;;19187;;3343;;42975;;1;1;1;1;1;1;;;+01251920;+5126080;0;0
58;1;167;P;1;12;;22467;10817;;3502;;;51636;1;1;1;1;1;1;;;+01255905;+5127280;0;1
58;1;168;P;1;3;29;;17960;;3502;;;51636;1;1;1;1;1;1;;;+01259925;+5130485;0;0
58;1;170;P;1;12;;;4401;;42724;;;51348;1;1;1;1;1;1;;;+01261060;+5133670;0;0
58;1;171;P;3;4;;;17692;;42528;;7032;;1;1;1;1;1;1;;;+01301340;+5118750;0;0
58;1;172;P;3;4;;;16184;;42535;;7101;;1;1;1;1;1;1;;;+01455600;+5121090;0;0
58;1;174;P;1;12;;;19109;;3547;;;173;1;1;1;1;1;1;;;+01468740;+5103620;0;0
58;1;175;P;1;12;;;8031;;56928;;;173;1;1;1;1;1;1;;;+01470580;+5104500;0;0
58;1;177;P;1;11;;;3904;;176;;;173;1;1;1;1;1;1;;;+01474020;+5109260;0;0
58;1;178;P;1;11;;;3904;;176;;;51324;1;1;1;1;1;1;;;+01474020;+5109260;0;0
58;1;179;P;1;11;;;27271;;1809;;;173;1;1;1;1;1;1;;;+01471540;+5111380;0;0
58;1;180;P;1;11;;;27271;;1809;;8966;;1;1;1;1;1;1;;;+01471540;+5111380;0;0
58;1;181;P;1;12;;;13704;;1809;;;173;1;1;1;1;1;1;;;+01471745;+5114800;0;0
58;1;182;P;1;11;;;13704;;1809;;;51369;1;1;1;1;1;1;;;+01471745;+5114800;0;0
58;1;183;P;3;4;;;1215;;56997;;7216;;1;1;1;1;1;1;;;+01275020;+5088840;0;0
58;1;184;P;3;12;;;13877;;967;;7216;;0;0;0;0;1;1;;;+01258235;+5107640;0;0
58;1;185;P;1;11;;10153;20461;;3660;;;9981;1;1;1;1;1;1;;;+01375715;+5104980;0;1
58;1;186;P;6;7;;;20680;;3660;;;;;;;;;;;;+01373340;+5105080;0;1
58;1;187;P;6;7;;;25399;;3660;;;;;;;;;;;;+01373700;+5105430;0;1
58;1;188;P;6;5;;16010;4003;;3771;;;;;;;;;;;;+01381025;+5105350;0;1
58;1;189;P;6;5;;;646;;3660;;;;;;;;;;;;+01375450;+5105720;0;1
58;1;190;P;6;5;;;5315;;3660;;;;;;;;;;;;+01374700;+5105470;0;1
58;1;191;P;6;5;;;1871;;3660;;;;;;;;;;;;+01373940;+5105510;0;1
58;1;192;P;6;5;;;16597;;3660;;;;;;;;;;;;+01373230;+5106100;0;1
58;1;193;P;6;5;;;7996;;3660;;;;;;;;;;;;+01368990;+5106430;0;1
58;1;194;P;6;5;;;26690;;3660;;;;;;;;;;;;+01377680;+5106400;0;1
58;1;198;P;1;3;22;;21863;;42706;;8525;;1;1;1;1;1;1;;;+01269140;+5099610;238;0
58;1;199;P;1;3;21;;20241;;42706;;8525;;1;1;1;1;1;1;;;+01268950;+5094570;0;0
58;1;200;P;1;3;;;8856;;1314;;8997;;1;1;1;1;1;1;;;+01263490;+5104950;0;0
58;1;202;P;1;11;;3660;17145;;5171;;;201;1;1;1;1;1;1;;;+01384850;+5100790;0;1
58;1;203;P;3;45;;3660;23092;;5171;;;201;1;1;1;1;1;1;;;+01386280;+5101070;0;1
58;1;204;P;1;11;;15547;20459;;3771;;;201;1;1;1;1;1;1;;;+01386630;+5101380;0;1
58;1;205;P;1;12;;20459;15547;;3771;;;51218;1;1;1;1;1;1;;;+01386630;+5101380;0;1
58;1;207;P;1;12;;;24852;;42664;;;206;1;1;1;1;1;1;;;+01324400;+5134900;0;0
58;1;208;P;3;45;;;24854;;42664;;;206;1;1;1;1;1;1;;;+01324550;+5134970;0;0
58;1;209;P;1;12;;;15999;;3223;;;206;1;1;1;1;1;1;;;+01324760;+5135290;0;0
58;1;210;P;1;12;;21778;19630;;42664;;9093;;1;1;1;1;1;1;;;+01324400;+5134900;0;1
58;1;211;P;6;6;;;6098;;1099;;;;;;;;;;;;+01289540;+5164910;0;0
58;1;212;P;1;12;;;28622;;42724;;;51348;1;1;1;1;1;1;;;+01259725;+5134430;0;0
58;1;213;P;1;12;;;4401;;42724;;;51636;1;1;1;1;1;1;;;+01260010;+5133110;214;0
58;1;214;P;1;8;;;28618;;42724;;;51636;1;1;1;1;1;1;;;+01259090;+5132940;213;0
58;1;215;P;1;12;;;28622;;42724;;;51636;1;1;1;1;1;1;;;+01259725;+5134430;0;0
58;1;216;P;1;12;;;8984;;42713;;;51636;1;1;1;1;1;1;;;+01259660;+5136060;0;0
58;1;217;P;1;12;;;19049;;2619;;52445;;1;1;1;1;1;1;;;+01258775;+5086830;42655;0
58;1;218;P;1;12;;;19049;;2619;;8525;;1;1;1;1;1;1;;;+01258775;+5086830;0;0
58;1;219;P;1;12;;;19046;;5400;;8523;;1;1;1;1;1;1;;;+01357780;+5103750;0;0
58;1;220;P;1;12;;;13419;;5400;;8523;;1;1;1;1;1;1;;;+01360380;+5103710;0;0
58;1;221;P;1;11;;;19046;;5400;;52352;;1;1;1;1;1;1;;;+01357780;+5103750;222;0
58;1;222;P;1;11;;;13419;;5400;;52352;;1;1;1;1;1;1;;;+01360380;+5103710;221;0
58;1;223;P;1;12;;;21022;;51411;;9081;;1;1;1;1;1;1;;;+01414685;+5115265;0;0
58;1;224;P;1;3;;;5017;;42534;;9081;;1;1;1;1;1;1;;;+01414005;+5117550;25653;0
58;1;226;P;1;11;;;7052;;225;;;51409;1;1;1;1;1;1;;;+01414740;+5122560;0;0
58;1;228;P;1;11;;;17209;;227;;;51409;1;1;1;1;1;1;;;+01416720;+5124370;0;0
58;1;229;P;1;11;;;17209;;227;;;51305;1;1;1;1;1;1;;;+01416720;+5124370;0;0
58;1;231;P;1;12;;;341;;42770;;;230;1;1;1;1;1;1;;;+01274690;+5090745;0;0
58;1;232;P;1;12;;;20241;;42706;;;230;1;1;1;1;1;1;;;+01271540;+5092100;0;0
58;1;233;P;1;11;;;27356;;42706;;;230;1;1;1;1;1;1;;;+01268075;+5094215;0;0
58;1;236;P;1;11;;;7027;;235;;;234;1;1;1;1;1;1;;;+01269550;+5097140;0;0
58;1;237;P;1;12;;;19158;;42706;;;234;1;1;1;1;1;1;;;+01270360;+5099610;0;0
58;1;238;P;1;12;;;7027;;235;;8525;;1;1;1;1;1;1;;;+01269550;+5097140;198;0
58;1;239;P;1;12;;;19158;;42706;;8525;;1;1;1;1;1;1;;;+01270360;+5099610;0;0
58;1;240;P;3;14;;;14014;;1710;;;42798;1;1;1;1;1;1;;;+01473560;+5152580;0;0
58;1;241;P;1;11;;7491;16823;;1812;;8963;;1;1;1;1;1;1;;;+01239110;+5137635;51603;1
58;1;242;P;1;11;;16810;15035;;1812;;8963;;1;1;1;1;1;1;;;+01236125;+5137565;0;1
58;1;243;P;1;11;;16810;24120;;5205;;8963;;1;1;1;1;1;1;;;+01234515;+5137520;0;1
58;1;244;P;1;11;;16810;5790;;1812;;8963;;1;1;1;1;1;1;;;+01238540;+5137615;0;1
58;1;245;P;3;28;;27761;10811;;2668;;43818;;1;1;1;1;1;1;;;+01238045;+5134405;0;1
58;1;247;P;1;12;;10817;6331;;3417;;;246;1;1;1;1;1;1;;;+01358015;+5112470;0;1
58;1;248;P;1;12;;6331;13575;;3772;;;246;1;1;1;1;1;1;;;+01356390;+5116120;0;1
58;1;249;P;1;12;;13575;6331;;3772;;;51114;1;1;1;1;1;1;;;+01356390;+5116120;0;1
58;1;250;P;1;12;;27212;22079;;1710;;51550;;1;1;1;1;1;1;;;+01474230;+5150980;0;1
58;1;251;P;1;12;;22079;27212;;1710;;;42798;1;1;1;1;1;1;;;+01474230;+5150980;0;1
58;1;253;P;1;12;;;14014;;1710;;;252;1;1;1;1;1;1;;;+01471810;+5151590;0;0
58;1;254;P;1;12;;;14015;;1710;;;252;1;1;1;1;1;1;;;+01468885;+5152620;0;0
58;1;255;P;1;12;;;14014;;1710;;8474;;1;1;1;1;1;1;;;+01471810;+5151590;0;0
58;1;298;P;1;11;;16727;20306;;2668;;;51691;1;1;1;1;1;1;;;+01237425;+5133575;0;1
58;1;307;P;1;11;;8973;3607;;2668;;;51745;1;1;1;1;1;1;;;+01237635;+5134840;0;1
58;1;314;P;5;3;;;12203;;2668;;;;;;;;;;;;+01237280;+5134320;0;1
58;1;320;P;5;2;;;1018;;3660;;;;;;;;;;;;+01378120;+5105010;0;1
58;1;322;P;5;3;;;17255;;3660;;;;;;;;;;;;+01372615;+5105820;0;1
58;1;325;P;5;3;;;5347;;3660;;;;;;;;;;;;+01373380;+5104540;0;1
58;1;335;P;1;13;;9231;15001;;42536;;;42979;1;1;1;1;1;1;;;+01217550;+5147210;0;0
58;1;471;P;1;11;;;4360;;1009;;;8613;1;1;1;1;1;1;;;+00618410;+5128240;0;0
58;1;477;P;1;11;;8375;13913;;547;;;8615;1;1;1;1;1;1;;;+00687790;+5143150;0;1
58;1;485;P;1;12;;;18687;;2722;;8886;;1;1;1;1;1;1;;;+00852870;+5126090;0;0
58;1;499;P;1;11;;;1770;;2087;;8886;;1;1;1;1;1;1;;;+00850230;+5130725;0;0
58;1;503;P;1;12;;;19588;;2087;;8886;;1;1;1;1;1;1;;;+00848875;+5134230;0;0
58;1;535;P;1;11;;;2504;;2087;;8886;;0;1;1;0;1;1;;;+00844865;+5136695;23922;0
58;1;549;P;1;12;;;2462;;2087;;8992;;1;1;1;1;1;1;;;+00844865;+5136695;0;0
58;1;562;P;1;12;;;3679;;3244;;8992;;1;1;1;1;1;1;;;+00839945;+5136125;0;0
58;1;571;P;1;12;;;749;;999;;8886;;1;1;1;1;1;1;;;+00862625;+5145915;0;0
58;1;600;P;1;12;;;5764;;2822;;39992;;1;1;1;1;1;1;;;+00883405;+5223475;0;0
58;1;616;P;1;12;;;17874;;39005;;8627;;1;1;1;1;1;1;;;+00764605;+5132910;0;0
58;1;630;P;1;15;;;5652;;1920;;;8888;1;1;1;1;1;1;;;+00898390;+5230945;0;0
58;1;648;P;1;8;;;4267;;2398;;39448;;1;1;1;1;1;1;;;+00747275;+5166595;0;0
58;1;654;P;1;3;1b;;18603;;2479;;7102;;1;1;1;1;1;1;;;+00624265;+5138025;0;0
58;1;668;P;3;8;;;18260;;39530;;7102;;1;1;1;1;1;1;;;+00650025;+5142375;0;0
58;1;697;P;1;8;;;11218;;2814;;8937;;1;1;1;1;1;1;;;+00766220;+5174355;0;0
58;1;725;P;1;11;;;21816;;2886;;8937;;1;1;1;1;1;1;;;+00767195;+5184415;0;0
58;1;736;P;1;11;;10514;11523;;550;;8937;;1;1;1;1;1;1;;;+00763815;+5190245;0;1
58;1;749;P;1;12;;;18686;;2941;;8940;;1;1;1;1;1;1;;;+00757260;+5100455;0;0
58;1;756;P;1;11;;;27571;;2834;;8940;;1;1;1;1;1;1;;;+00769005;+5103040;0;0
58;1;761;P;1;8;;;6353;;2887;;8940;;1;1;1;1;1;1;;;+00777755;+5102105;0;0
58;1;770;P;1;12;;;19348;;3089;;8941;;1;1;1;1;1;1;;;+00795415;+5107755;0;0
58;1;772;P;1;12;;;17868;;2637;;8974;;1;1;1;1;1;1;;;+00789555;+5196135;0;0
58;1;773;P;1;12;;21203;3788;;2217;;9036;;1;1;1;1;1;1;;;+00636850;+5180240;0;1
58;1;774;P;1;12;;;19795;;2635;;8992;;1;1;1;1;1;1;;;+00908695;+5151165;0;0
58;1;778;P;1;8;;;18390;;1989;;;9207;1;1;1;1;1;1;;;+00733160;+5083735;0;0
58;1;779;P;1;12;;;24162;;3089;;;9732;1;1;1;1;1;1;;;+00785070;+5107760;0;0
58;1;782;P;1;11;;27763;6014;;39519;;9036;;1;1;1;1;1;1;;;+00672635;+5156480;0;1
58;1;784;P;1;10;;11843;7920;;426;;47841;;1;1;1;1;1;1;;;+00710890;+5151665;0;1
58;1;803;P;1;11;;;2580;;39535;;8947;;1;1;1;1;1;1;;;+00628010;+5103475;0;0
58;1;806;P;1;11;;13005;24737;;1380;;;47863;1;1;1;1;1;1;;;+00675455;+5125990;0;1
58;1;809;P;1;11;;;6404;;391;;;8704;1;1;1;1;1;1;;;+00668800;+5135830;0;0
58;1;816;P;5;6;;31;2020;;3116;;;;;;;;;;;;+00821955;+5183180;0;1
58;1;827;P;1;12;;22919;14276;12988;2683;;8950;;1;1;1;1;1;1;;;+00662535;+5165910;0;1
58;1;837;P;1;12;;17429;19178;8375;547;;;57;0;1;1;0;1;1;;;+00686715;+5144290;0;1
58;1;855;P;1;12;;19178;17429;;547;;;8615;1;1;1;1;1;1;;;+00686715;+5144290;0;1
58;1;858;P;1;10;;9191;9604;;408;;8617;;1;1;1;1;1;1;;;+00700770;+5146820;0;1
58;1;868;P;1;12;;28161;7998;;660;;47804;;1;1;1;1;1;1;;;+00707470;+5119275;0;1
58;1;870;P;1;10;;5979;26006;;493;;47818;;1;1;1;1;1;1;;;+00659405;+5132245;0;1
58;1;875;P;1;12;;3607;9253;;493;;47818;;1;1;1;1;1;1;;;+00660205;+5133620;0;1
58;1;887;P;1;10;;20753;24366;24349;493;;9059;;1;1;1;1;1;1;;;+00654865;+5133125;0;1
58;1;890;P;1;10;;;11483;;39518;;;48113;1;1;1;1;1;1;;;+00692890;+5116825;0;0
58;1;902;P;1;10;;3607;6994;;39518;;;9129;1;1;1;1;1;1;;;+00692890;+5116825;0;1
58;1;912;P;1;12;;7998;24130;;660;;;48113;0;1;1;0;1;1;;;+00707470;+5119275;0;0
58;1;933;P;1;8;;;15146;;39313;;8664;;1;1;1;1;1;1;;;+00636290;+5082315;0;0
58;1;935;P;3;3;;;15658;;306;;7108;;0;1;0;1;0;1;;;+00612065;+5071840;0;0
58;1;941;P;1;15;;;8714;;39319;;;55930;0;1;1;0;1;1;;;+00600845;+5101235;0;0
58;1;943;P;1;3;110a;;27081;;39509;;39796;;1;1;1;1;1;1;;;+00681190;+5075225;0;0
58;1;957;P;1;10;;9448;24061;;1171;;;947;1;0;0;1;1;1;;;+00682255;+5123835;0;1
58;1;963;P;1;10;;9448;24505;;1171;;;947;0;1;1;0;1;1;;;+00682750;+5124180;0;1
58;1;971;P;1;10;;16045;24505;;1171;;8989;;1;1;1;1;1;1;;;+00682750;+5124180;0;1
58;1;978;P;1;15;;;4261;;3173;;8937;;1;1;1;1;1;1;;;+00737220;+5211465;0;0
58;1;982;P;1;11;;;20298;;2128;;;8888;1;1;1;1;1;1;;;+00905205;+5242520;0;0
58;1;986;P;1;12;;;11196;;1492;;9033;;1;1;1;1;1;1;;;+00737790;+5072220;0;0
58;1;987;P;1;11;;;590;;2848;;8659;;1;1;1;1;1;1;;;+00673990;+5038730;0;0
58;1;990;P;1;9;;;24109;;39318;;8659;;1;1;1;1;1;1;;;+00650870;+5049325;0;0
58;1;1001;P;1;12;;;7054;;1181;;9036;;1;1;1;1;1;1;;;+00615935;+5187190;0;0
58;1;1004;P;1;12;;512;21485;;351;;9057;;1;1;1;1;1;1;;;+00711745;+5071905;0;1
58;1;1010;P;1;10;;21865;13914;;39330;;8945;;1;1;1;1;1;1;;;+00702890;+5071375;0;1
58;1;1014;P;1;10;;11304;20802;;351;;8945;;1;1;1;1;1;1;;;+00706260;+5072190;0;1
58;1;1021;P;1;12;;10817;24273;;2550;;9033;;1;1;1;1;1;1;;;+00711945;+5082765;0;1
58;1;1022;P;1;10;;;4810;;2863;;8667;;1;1;1;1;1;1;;;+00686870;+5083910;0;0
58;1;1028;P;1;8;;;7319;;2909;;8947;;1;1;1;1;1;1;;;+00632010;+5109335;0;0
58;1;1033;P;1;10;;17735;9124;;544;;;8622;1;1;1;1;1;1;;;+00649085;+5115300;0;1
58;1;1039;P;1;11;;11601;7908;;544;;;8952;1;1;1;1;1;1;;;+00643335;+5119035;0;1
58;1;1040;P;1;12;;;27315;;2675;;8621;;1;1;1;1;1;1;;;+00772570;+5123020;0;0
58;1;1055;P;1;12;;;15519;;1236;;8627;;1;1;1;1;1;1;;;+00796940;+5120195;0;0
58;1;1063;P;1;12;;;28605;;2722;;8626;;0;0;0;0;1;1;;;+00856165;+5115395;0;0
58;1;1075;P;1;12;;12635;7034;;445;;47814;;1;1;1;1;1;1;;;+00756445;+5135715;0;1
58;1;1077;P;1;11;;26250;23989;3391;493;;9059;;1;1;1;1;1;1;;;+00652330;+5134820;0;0
58;1;1081;P;1;11;;;23511;;2385;;8628;;1;1;1;1;1;1;;;+00757180;+5141405;0;0
58;1;1087;P;1;12;;;18596;;2640;;;9184;1;1;1;1;1;1;;;+00822195;+5148175;0;0
58;1;1435;P;5;5;;6417;25807;;1430;;;;;;;;;;;;+00674455;+5131880;0;1
58;1;1436;P;5;5;;1477;22408;;1096;;;;;;;;;;;;+00678120;+5133015;0;1
58;1;1440;P;5;5;;20683;22418;;2212;;;;;;;;;;;;+00686315;+5129480;0;1
